seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
15	chr1	564461	564470	+	8	243	0.6	10	2.42	0.44	0.48	NA	564467
16	chr1	564563	564626	+	12	56	0.39	64	-1.43	-0.91	0.19	NA	564598
21	chr1	565371	565427	+	24	206	0.41	57	-10.83	-1.29	0.28	NA	565370
22	chr1	565509	565565	+	21	456	0.43	57	13.3	-0.59	0.41	NA	565556
23	chr1	565591	565599	+	8	137	0.42	9	-1.2	-0.32	0.23	NA	565592
27	chr1	565901	565905	+	5	415	0.92	5	0.06	1.45	0.76	NA	565902
30	chr1	566536	566546	+	4	81	0.89	11	0.09	1.39	0.69	NA	566540
32	chr1	566736	566745	+	6	56	0.29	10	-0.11	-0.32	0.1	NA	566735
33	chr1	566792	566888	+	29	8472	0.25	97	7.93	-0.94	0.39	NA	566854
34	chr1	566914	566935	+	8	898	0.98	22	9.42	1.8	0.93	NA	566933
37	chr1	567063	567066	+	3	96	0.68	4	-0.66	0.78	0.23	NA	567062
38	chr1	567091	567128	+	12	771	0.75	38	17.29	0.69	0.64	NA	567127
39	chr1	567172	567250	+	32	2076	0.51	79	22.17	-0.64	0.47	NA	567240
42	chr1	567543	567587	+	35	2020	0.77	45	9.18	0.33	0.67	NA	567576
43	chr1	567663	567670	+	7	354	0.4	8	1.61	-0.27	0.19	NA	567669
45	chr1	567746	567757	+	7	112	0.65	12	-1.22	0.39	0.43	NA	567748
47	chr1	568032	568051	+	16	817	0.31	20	5.56	-0.65	0.34	NA	568048
49	chr1	568163	568173	+	8	1043	0.9	11	1.81	1.36	0.79	NA	568169
50	chr1	568204	568222	+	9	278	0.87	19	-3.81	1.09	0.71	NA	568208
51	chr1	568256	568258	+	3	107	0.93	3	0.05	1.61	0.76	NA	568256
61	chr1	568899	569103	+	72	1640	0.32	205	-62.27	-1.49	0.43	NA	568912
62	chr1	569169	569177	+	7	305	0.47	9	1.38	0.17	0.35	NA	569174
63	chr1	569234	569273	+	11	3666	0.57	40	17.05	0.69	0.62	NA	569271
65	chr1	569566	569576	+	4	1343	0.66	11	3.66	1.03	0.51	NA	569574
67	chr1	569682	569693	+	9	207	0.69	12	0.92	0.38	0.49	NA	569687
70	chr1	569803	569847	+	16	76	0.55	45	-4.76	-0.57	0.36	NA	569812
71	chr1	569874	569961	+	45	537	0.22	88	-7.05	-2.03	0.27	NA	569891
72	chr1	569986	569993	+	7	82	0.48	8	-1.61	-0.2	0.22	NA	569986
109	chr1	725442	725499	+	16	71	0.27	58	17.7	-1.41	0.15	NA	725497
144	chr1	762977	763200	+	70	397	0.1	224	-22.82	-3.18	0.15	NA	763045
299	chr1	935832	935932	+	30	72	0.15	101	-4.21	-2.42	0.1	NA	935867
319	chr1	948775	948971	+	118	70112	0.57	197	2.39	-0.79	0.59	NA	948875
320	chr1	948998	949131	+	30	119	0.15	134	-14.52	-2.13	0.16	NA	949043
324	chr1	949345	949550	+	73	285	0.19	206	-21.74	-3.17	0.16	NA	949392
327	chr1	949824	949895	+	46	1635	0.17	72	21.57	-2.01	0.27	NA	949891
337	chr1	955453	955538	+	28	216	0.21	86	-10.43	-1.76	0.22	NA	955498
483	chr1	991412	991433	+	14	83	0.24	22	2.86	-1.08	0.19	NA	991429
499	chr1	999829	999921	+	32	168	0.32	93	-3.05	-1.88	0.22	NA	999866
685	chr1	1243942	1244025	+	38	188	0.23	84	6.16	-2.1	0.22	NA	1243972
722	chr1	1260161	1260207	+	22	114	0.38	47	0.9	-1.43	0.23	NA	1260180
789	chr1	1326905	1326917	+	4	298	0.98	13	3.01	1.83	0.91	NA	1326913
792	chr1	1334898	1335001	+	54	410	0.18	104	-16.78	-2.55	0.21	NA	1334919
898	chr1	1397801	1397908	+	49	524	0.4	108	-9.45	-1.57	0.36	NA	1397847
915	chr1	1407111	1407194	+	33	139	0.17	84	-4.19	-2.26	0.16	NA	1407156
1000	chr1	1447495	1447619	+	39	232	0.19	125	-19.57	-2.49	0.15	NA	1447527
1172	chr1	1564271	1564441	+	87	808	0.15	171	0.32	-2.88	0.24	NA	1564372
1174	chr1	1564563	1564693	+	25	53	0.21	131	-5.85	-2	0.14	NA	1564602
1253	chr1	1676523	1676575	+	8	57	0.79	53	5.46	0.69	0.56	NA	1676554
1275	chr1	1679812	1679859	+	15	64	0.36	48	7.58	-1.11	0.2	NA	1679853
1610	chr1	2241303	2241361	+	16	76	0.49	59	1.58	-0.71	0.32	NA	2241335
1661	chr1	2323177	2323364	+	110	6469	0.41	188	7.02	-1.75	0.45	NA	2323279
1730	chr1	2335144	2335163	+	9	61	0.3	20	5.39	-0.51	0.21	NA	2335158
1880	chr1	2487150	2487685	+	169	1009	0.08	536	-81.22	-4.12	0.17	NA	2487211
1881	chr1	2487724	2487895	+	51	411	0.33	172	19.22	-1.85	0.32	NA	2487836
1882	chr1	2487937	2488096	+	35	274	0.35	160	-15.41	-1.16	0.38	NA	2487994
1904	chr1	2492058	2492169	+	26	72	0.18	112	-1.79	-2.21	0.1	NA	2492132
1952	chr1	2508329	2508415	+	20	74	0.36	87	1.11	-1.33	0.23	NA	2508371
1962	chr1	2509907	2510054	+	35	94	0.19	148	-14.33	-2.43	0.14	NA	2509950
1983	chr1	2517897	2517966	+	25	61	0.34	70	9.43	-1.74	0.19	NA	2517960
1987	chr1	2518200	2518301	+	29	54	0.13	102	-16.67	-2.46	0.08	NA	2518214
2180	chr1	3152929	3152930	+	2	58	0.95	2	0.45	1.71	0.71	NA	3152929
2332	chr1	3541536	3541632	+	39	107	0.11	97	0.28	-2.84	0.09	NA	3541596
2362	chr1	3568787	3569182	+	118	809	0.15	396	66.88	-3.3	0.23	NA	3569078
2448	chr1	3599663	3599724	+	12	52	0.62	62	-7.67	-0.16	0.4	NA	3599687
2631	chr1	3773827	3773878	+	20	53	0.15	52	-4.35	-1.94	0.09	NA	3773866
2632	chr1	3774014	3774103	+	25	91	0.16	90	-26.9	-1.97	0.15	NA	3774020
2812	chr1	4622094	4622094	+	1	64	1	1	0	2	1	NA	4622093
3046	chr1	5884159	5884159	+	1	213	1	1	0	2	1	NA	5884158
3085	chr1	6052689	6052824	+	74	777	0.2	136	3.36	-2.52	0.27	NA	6052752
3169	chr1	6086288	6086464	+	100	1987	0.13	177	9.74	-2.74	0.29	NA	6086394
3371	chr1	6159320	6159485	+	40	96	0.1	166	-7.84	-2.74	0.11	NA	6159321
3374	chr1	6159665	6159976	+	61	137	0.3	312	-48.43	-2.85	0.18	NA	6159687
3377	chr1	6160214	6160438	+	53	102	0.08	225	-1.8	-3.36	0.06	NA	6160283
3380	chr1	6160611	6160765	+	38	56	0.05	155	13.29	-3.08	0.03	NA	6160633
3381	chr1	6160790	6160924	+	43	128	0.34	135	-13.22	-2.24	0.22	NA	6160820
3383	chr1	6161014	6161112	+	14	53	0.43	99	-28.06	-0.42	0.37	NA	6161026
3423	chr1	6266117	6266253	+	48	337	0.2	137	-21.36	-2.46	0.2	NA	6266177
3647	chr1	6640024	6640128	+	34	438	0.17	105	-0.48	-2	0.21	NA	6640059
3706	chr1	6673769	6673945	+	36	91	0.22	177	-40.48	-2.46	0.14	NA	6673801
3749	chr1	6682965	6682987	+	19	228	0.29	23	1.15	-1.22	0.24	NA	6682980
3762	chr1	6685207	6685329	+	49	828	0.24	123	-11.51	-1.87	0.31	NA	6685263
3816	chr1	6799110	6799113	+	2	51	0.98	4	1.44	1.86	0.86	NA	6799112
3838	chr1	6845469	6845608	+	68	368	0.24	140	4.45	-2.82	0.21	NA	6845512
3899	chr1	6884890	6884964	+	23	97	0.2	75	-5.97	-1.98	0.12	NA	6884927
4201	chr1	7467040	7467117	+	22	89	0.2	78	13.85	-1.79	0.15	NA	7467100
4320	chr1	7831301	7831420	+	41	353	0.3	120	-2.2	-1.85	0.28	NA	7831351
4420	chr1	8014331	8014415	+	19	168	0.43	85	-20.2	-0.82	0.34	NA	8014348
4428	chr1	8021662	8021848	+	141	28132	0.28	187	-1.88	-2.33	0.39	NA	8021769
4438	chr1	8022795	8022910	+	42	200	0.16	116	13.89	-2.66	0.14	NA	8022901
